Ch1	x	8
Ch2	10	38
Ch3	x	74
Ch4	x	100
Ch5	x	153
Ch6	x	189
Ch7	x	210
Ch8	x	242
Ch9	x	282
Ch10	293	333
Ch11	x	363
Ch12	365	396
Ch13	397	437
Ch14	438	478
Ch15	479	509
Ch16	510	543
Ch18	583	610
Ch20	643	672
Ch23	731	790
Ch25	826	849
Ch26	850	874
